date,crimes
2016-01-01,502
2016-01-02,343
2016-01-03,373
2016-01-04,412
2016-01-05,396
2016-01-06,361
2016-01-07,393
2016-01-08,388
2016-01-09,396
2016-01-10,341
2016-01-11,368
2016-01-12,384
2016-01-13,383
2016-01-14,369
2016-01-15,454
2016-01-16,406
2016-01-17,386
2016-01-18,393
2016-01-19,398
2016-01-20,442
2016-01-21,405
2016-01-22,457
2016-01-23,431
2016-01-24,393
2016-01-25,379
2016-01-26,415
2016-01-27,454
2016-01-28,421
2016-01-29,426
2016-01-30,431
2016-01-31,418
2016-02-01,476
2016-02-02,432
2016-02-03,384
2016-02-04,391
2016-02-05,442
2016-02-06,413
2016-02-07,427
2016-02-08,370
2016-02-09,404
2016-02-10,424
2016-02-11,431
2016-02-12,434
2016-02-13,425
2016-02-14,399
2016-02-15,406
2016-02-16,394
2016-02-17,385
2016-02-18,396
2016-02-19,418
2016-02-20,399
2016-02-21,381
2016-02-22,390
2016-02-23,377
2016-02-24,390
2016-02-25,401
2016-02-26,397
2016-02-27,413
2016-02-28,359
2016-02-29,394
2016-03-01,435
2016-03-02,426
2016-03-03,396
2016-03-04,424
2016-03-05,446
2016-03-06,404
2016-03-07,385
2016-03-08,453
2016-03-09,356
2016-03-10,390
2016-03-11,390
2016-03-12,390
2016-03-13,401
2016-03-14,426
2016-03-15,460
2016-03-16,441
2016-03-17,449
2016-03-18,470
2016-03-19,436
2016-03-20,401
2016-03-21,405
2016-03-22,408
2016-03-23,401
2016-03-24,400
2016-03-25,400
2016-03-26,378
2016-03-27,319
2016-03-28,352
2016-03-29,365
2016-03-30,393
2016-03-31,383
2016-04-01,435
2016-04-02,434
2016-04-03,426
2016-04-04,403
2016-04-05,400
2016-04-06,383
2016-04-07,398
2016-04-08,369
2016-04-09,416
2016-04-10,436
2016-04-11,409
2016-04-12,425
2016-04-13,362
2016-04-14,367
2016-04-15,419
2016-04-16,368
2016-04-17,306
2016-04-18,360
2016-04-19,389
2016-04-20,386
2016-04-21,379
2016-04-22,395
2016-04-23,415
2016-04-24,348
2016-04-25,379
2016-04-26,380
2016-04-27,366
2016-04-28,361
2016-04-29,354
2016-04-30,279
2016-05-01,267
2016-05-02,160
